"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094263","BREMERTON, WA US","2017-04-28",,"58","38"
"USW00094263","BREMERTON, WA US","2017-04-29",,"57","37"
"USW00094263","BREMERTON, WA US","2017-04-30",,"56","44"
"USW00094263","BREMERTON, WA US","2017-05-01",,"51","41"
"USW00094263","BREMERTON, WA US","2017-05-02",,"59","38"
"USW00094263","BREMERTON, WA US","2017-05-04",,"78","50"
"USW00094263","BREMERTON, WA US","2017-05-05",,"59","46"
"USW00094263","BREMERTON, WA US","2017-05-06",,"57","40"
"USW00094263","BREMERTON, WA US","2017-05-07",,"61","38"
"USW00094263","BREMERTON, WA US","2017-05-08",,"65","41"
"USW00094263","BREMERTON, WA US","2017-05-09",,"72","39"
"USW00094263","BREMERTON, WA US","2017-05-10",,"70","44"
"USW00094263","BREMERTON, WA US","2017-05-11",,"56","43"
"USW00094263","BREMERTON, WA US","2017-05-12",,"54","42"
"USW00094263","BREMERTON, WA US","2017-05-13",,"55","41"
"USW00094263","BREMERTON, WA US","2017-05-14",,"59","44"
"USW00094263","BREMERTON, WA US","2017-05-15",,"49","43"
"USW00094263","BREMERTON, WA US","2017-05-17",,"57","45"
"USW00094263","BREMERTON, WA US","2017-05-18",,"65","39"
"USW00094263","BREMERTON, WA US","2017-05-19",,"70","44"
"USW00094263","BREMERTON, WA US","2017-05-20",,"72","48"
"USW00094263","BREMERTON, WA US","2017-05-22",,"82","46"
"USW00094263","BREMERTON, WA US","2017-05-23",,"80","48"
"USW00094263","BREMERTON, WA US","2017-05-24",,"61","39"
"USW00094263","BREMERTON, WA US","2017-05-25",,"68","38"
"USW00094263","BREMERTON, WA US","2017-05-26",,"79","43"
"USW00094263","BREMERTON, WA US","2017-05-27",,"83","47"
"USW00094263","BREMERTON, WA US","2017-05-28",,"84","48"
"USW00094263","BREMERTON, WA US","2017-05-29",,"78","49"
"USW00094263","BREMERTON, WA US","2017-05-31",,"71","50"
"USW00094263","BREMERTON, WA US","2017-06-01",,"66","53"
"USW00094263","BREMERTON, WA US","2017-06-02",,"71","51"
"USW00094263","BREMERTON, WA US","2017-06-03",,"65","47"
"USW00094263","BREMERTON, WA US","2017-06-04",,"66","46"
"USW00094263","BREMERTON, WA US","2017-06-05",,"71","38"
"USW00094263","BREMERTON, WA US","2017-06-06",,"84","43"
"USW00094263","BREMERTON, WA US","2017-06-07",,"79","48"
"USW00094263","BREMERTON, WA US","2017-06-08",,"62","48"
"USW00094263","BREMERTON, WA US","2017-06-09",,"61","46"
"USW00094263","BREMERTON, WA US","2017-06-10",,"64","45"
"USW00094263","BREMERTON, WA US","2017-06-11",,"69","45"
"USW00094263","BREMERTON, WA US","2017-06-12",,"64","46"
"USW00094263","BREMERTON, WA US","2017-06-13",,"61","45"
"USW00094263","BREMERTON, WA US","2017-06-14",,"63","41"
"USW00094263","BREMERTON, WA US","2017-06-15",,"58","47"
"USW00094263","BREMERTON, WA US","2017-06-16",,"68","46"
"USW00094263","BREMERTON, WA US","2017-06-17",,"62","44"
"USW00094263","BREMERTON, WA US","2017-06-19",,"74","56"
"USW00094263","BREMERTON, WA US","2017-06-20",,"70","55"
"USW00094263","BREMERTON, WA US","2017-06-21",,"66","44"
"USW00094263","BREMERTON, WA US","2017-06-23",,"81","58"
"USW00094263","BREMERTON, WA US","2017-06-24",,"88","50"
"USW00094263","BREMERTON, WA US","2017-06-25",,"98","60"
"USW00094263","BREMERTON, WA US","2017-06-26",,"72","51"
"USW00094263","BREMERTON, WA US","2017-06-27",,"73","50"
"USW00094263","BREMERTON, WA US","2017-06-28",,"67","47"
"USW00094263","BREMERTON, WA US","2017-06-29",,"77","44"
"USW00094263","BREMERTON, WA US","2017-06-30",,"85","49"
"USW00094263","BREMERTON, WA US","2017-07-01",,"76","52"
"USW00094263","BREMERTON, WA US","2017-07-02",,"78","46"
"USW00094263","BREMERTON, WA US","2017-07-03",,"67","50"
"USW00094263","BREMERTON, WA US","2017-07-05",,"84","45"
"USW00094263","BREMERTON, WA US","2017-07-06",,"85","48"
"USW00094263","BREMERTON, WA US","2017-07-07",,"72","51"
"USW00094263","BREMERTON, WA US","2017-07-08",,"82","50"
"USW00094263","BREMERTON, WA US","2017-07-09",,"80","46"
"USW00094263","BREMERTON, WA US","2017-07-11",,"75","52"
"USW00094263","BREMERTON, WA US","2017-07-12",,"78","45"
"USW00094263","BREMERTON, WA US","2017-07-13",,"73","51"
"USW00094263","BREMERTON, WA US","2017-07-14",,"80","45"
"USW00094263","BREMERTON, WA US","2017-07-15",,"76","45"
"USW00094263","BREMERTON, WA US","2017-07-16",,"72","50"
"USW00094263","BREMERTON, WA US","2017-07-18",,"83","45"
"USW00094263","BREMERTON, WA US","2017-07-19",,"77","51"
"USW00094263","BREMERTON, WA US","2017-07-21",,"77","47"
"USW00094263","BREMERTON, WA US","2017-07-22",,"85","60"
"USW00094263","BREMERTON, WA US","2017-07-23",,"73","55"
"USW00094263","BREMERTON, WA US","2017-07-24",,"80","45"
"USW00094263","BREMERTON, WA US","2017-07-25",,"85","48"
"USW00094263","BREMERTON, WA US","2017-07-26",,"85","51"
"USW00094263","BREMERTON, WA US","2017-07-27",,"69","54"
"USW00094263","BREMERTON, WA US","2017-07-29",,"84","47"
"USW00094263","BREMERTON, WA US","2017-07-30",,"81","49"
"USW00094263","BREMERTON, WA US","2017-07-31",,"85","49"
"USW00094263","BREMERTON, WA US","2017-08-01",,"87","48"
"USW00094263","BREMERTON, WA US","2017-08-02",,"89","53"
"USW00094263","BREMERTON, WA US","2017-08-03",,"92","57"
"USW00094263","BREMERTON, WA US","2017-08-04",,"91","53"
"USW00094263","BREMERTON, WA US","2017-08-05",,"84","53"
"USW00094263","BREMERTON, WA US","2017-08-06",,"82","53"
"USW00094263","BREMERTON, WA US","2017-08-07",,"86","52"
"USW00094263","BREMERTON, WA US","2017-08-08",,"90","52"
"USW00094263","BREMERTON, WA US","2017-08-09",,"93","54"
"USW00094263","BREMERTON, WA US","2017-08-10",,"92","55"
"USW00094263","BREMERTON, WA US","2017-08-11",,"78","55"
"USW00094263","BREMERTON, WA US","2017-08-12",,"76","54"
"USW00094263","BREMERTON, WA US","2017-08-13",,"70","58"
"USW00094263","BREMERTON, WA US","2017-08-14",,"73","50"
"USW00094263","BREMERTON, WA US","2017-08-15",,"79","45"
"USW00094263","BREMERTON, WA US","2017-08-16",,"80","46"
"USW00094263","BREMERTON, WA US","2017-08-17",,"78","54"
"USW00094263","BREMERTON, WA US","2017-08-18",,"75","47"
"USW00094263","BREMERTON, WA US","2017-08-19",,"77","55"
"USW00094263","BREMERTON, WA US","2017-08-20",,"78","47"
"USW00094263","BREMERTON, WA US","2017-08-21",,"82","54"
"USW00094263","BREMERTON, WA US","2017-08-22",,"87","50"
"USW00094263","BREMERTON, WA US","2017-08-23",,"77","56"
"USW00094263","BREMERTON, WA US","2017-08-24",,"69","49"
"USW00094263","BREMERTON, WA US","2017-08-25",,"75","45"
"USW00094263","BREMERTON, WA US","2017-08-26",,"83","45"
"USW00094263","BREMERTON, WA US","2017-08-27",,"87","53"
"USW00094263","BREMERTON, WA US","2017-08-28",,"90","50"
"USW00094263","BREMERTON, WA US","2017-08-29",,"86","54"
"USW00094263","BREMERTON, WA US","2017-08-30",,"77","56"
"USW00094263","BREMERTON, WA US","2017-08-31",,"73","53"
"USW00094263","BREMERTON, WA US","2017-09-01",,"84","46"
"USW00094263","BREMERTON, WA US","2017-09-02",,"89","50"
"USW00094263","BREMERTON, WA US","2017-09-03",,"89","54"
"USW00094263","BREMERTON, WA US","2017-09-04",,"86","51"
"USW00094263","BREMERTON, WA US","2017-09-05",,"89","60"
"USW00094263","BREMERTON, WA US","2017-09-06",,"79","56"
"USW00094263","BREMERTON, WA US","2017-09-07",,"76","53"
"USW00094263","BREMERTON, WA US","2017-09-08",,"67","54"
"USW00094263","BREMERTON, WA US","2017-09-09",,"66","53"
"USW00094263","BREMERTON, WA US","2017-09-11",,"81","44"
"USW00094263","BREMERTON, WA US","2017-09-13",,"70","47"
"USW00094263","BREMERTON, WA US","2017-09-14",,"75","41"
"USW00094263","BREMERTON, WA US","2017-09-15",,"77","38"
"USW00094263","BREMERTON, WA US","2017-09-16",,"75","42"
"USW00094263","BREMERTON, WA US","2017-09-17",,"63","46"
"USW00094263","BREMERTON, WA US","2017-09-18",,"60","46"
"USW00094263","BREMERTON, WA US","2017-09-19",,"62","42"
"USW00094263","BREMERTON, WA US","2017-09-20",,"55","42"
"USW00094263","BREMERTON, WA US","2017-09-21",,"63","42"
"USW00094263","BREMERTON, WA US","2017-09-22",,"69","44"
"USW00094263","BREMERTON, WA US","2017-09-23",,"69","46"
"USW00094263","BREMERTON, WA US","2017-09-24",,"74","43"
"USW00094263","BREMERTON, WA US","2017-09-25",,"63","53"
"USW00094263","BREMERTON, WA US","2017-09-26",,"73","51"
"USW00094263","BREMERTON, WA US","2017-09-27",,"81","57"
