Date,Tmax,Tmin
2024-01-01,49.0,36.0
2024-01-02,42.0,38.0
2024-01-03,44.0,40.0
2024-01-04,47.0,42.0
2024-01-05,47.0,41.0
2024-01-06,47.0,39.0
2024-01-07,44.0,34.0
2024-01-08,43.0,35.0
2024-01-09,48.0,38.0
2024-01-10,47.0,36.0
2024-01-11,43.0,30.0
2024-01-12,47.0,19.0
2024-01-13,21.0,17.0
2024-01-14,25.0,17.0
2024-01-15,33.0,20.0
2024-01-16,36.0,21.0
2024-01-17,37.0,25.0
2024-01-18,38.0,25.0
2024-01-19,37.0,35.0
2024-01-20,46.0,34.0
2024-01-21,48.0,35.0
2024-01-22,45.0,42.0
2024-01-23,51.0,44.0
2024-01-24,54.0,41.0
2024-01-25,50.0,43.0
2024-01-26,51.0,44.5
2024-01-27,52.0,46.0
2024-01-28,55.5,48.0
2024-01-29,59.0,50.0
2024-01-30,60.0,50.0
2024-01-31,56.0,51.0
2024-02-01,53.0,49.0
2024-02-02,58.0,44.0
2024-02-03,55.0,35.0
2024-02-04,52.0,36.0
2024-02-05,48.0,42.0
2024-02-06,47.0,40.0
2024-02-07,46.0,39.0
2024-02-08,52.0,40.0
2024-02-09,52.0,38.0
2024-02-10,49.0,35.0
2024-02-11,51.0,35.0
2024-02-12,49.0,43.0
2024-02-13,50.0,39.0
2024-02-14,50.0,34.0
2024-02-15,46.0,32.0
2024-02-16,38.0,30.0
2024-02-17,42.0,33.0
2024-02-18,46.0,36.0
2024-02-19,51.0,38.0
2024-02-20,47.0,39.0
2024-02-21,53.0,42.0
2024-02-22,51.0,44.0
2024-02-23,58.0,36.0
2024-02-24,53.0,41.0
2024-02-25,49.0,43.0
2024-02-26,54.0,33.0
2024-02-27,48.0,30.0
2024-02-28,47.0,33.0
2024-02-29,45.66666666666666,33.333333333333336
2024-03-01,44.333333333333336,33.666666666666664
2024-03-02,43.0,34.0
2024-03-03,43.0,33.0
2024-03-04,44.0,33.0
2024-03-05,39.0,31.0
2024-03-06,45.0,29.0
2024-03-07,44.0,30.0
2024-03-08,49.0,37.0
2024-03-09,53.0,41.0
2024-03-10,50.0,41.0
2024-03-11,47.0,40.0
2024-03-12,47.0,43.0
2024-03-13,52.0,37.0
2024-03-14,52.0,34.0
2024-03-15,56.0,36.0
2024-03-16,61.0,36.0
2024-03-17,77.0,41.0
2024-03-18,72.0,40.0
2024-03-19,69.0,41.0
2024-03-20,67.0,45.0
2024-03-21,53.0,45.0
2024-03-22,59.0,46.0
2024-03-23,59.0,45.5
2024-03-24,59.0,45.0
2024-03-25,61.0,45.0
2024-03-26,53.0,42.0
2024-03-27,58.0,44.0
2024-03-28,56.0,41.0
2024-03-29,53.0,42.0
2024-03-30,56.5,40.0
2024-03-31,60.0,38.0
2024-04-01,63.0,41.0
2024-04-02,65.5,40.0
2024-04-03,68.0,39.0
2024-04-04,51.0,37.0
2024-04-05,50.0,43.0
2024-04-06,54.0,42.0
2024-04-07,48.0,39.0
2024-04-08,56.0,41.0
2024-04-09,55.0,43.0
2024-04-10,57.0,40.0
2024-04-11,61.0,45.0
2024-04-12,61.0,41.0
2024-04-13,57.0,41.0
2024-04-14,64.0,40.0
2024-04-15,69.0,47.0
2024-04-16,56.0,41.0
2024-04-17,53.0,34.0
2024-04-18,60.0,36.0
2024-04-19,63.5,37.5
2024-04-20,67.0,39.0
2024-04-21,73.0,37.0
2024-04-22,66.5,37.5
2024-04-23,60.0,38.0
2024-04-24,73.0,44.0
2024-04-25,56.0,47.0
2024-04-26,54.0,48.0
2024-04-27,59.0,46.5
2024-04-28,64.0,45.0
2024-04-29,58.0,40.0
2024-04-30,56.0,41.0
2024-05-01,56.0,37.0
2024-05-02,60.0,39.0
2024-05-03,67.0,43.0
2024-05-04,69.0,51.0
2024-05-05,65.33333333333333,47.66666666666666
2024-05-06,61.66666666666666,44.333333333333336
2024-05-07,58.0,41.0
2024-05-08,59.0,40.0
2024-05-09,64.0,39.0
2024-05-10,74.0,45.0
2024-05-11,84.0,51.0
2024-05-12,84.0,52.5
2024-05-13,84.0,54.0
2024-05-14,84.0,46.0
2024-05-15,79.5,47.5
2024-05-16,75.0,49.0
2024-05-17,69.0,44.0
2024-05-18,76.0,47.0
2024-05-19,63.0,45.0
2024-05-20,61.0,42.0
2024-05-21,64.0,42.5
2024-05-22,67.0,43.0
2024-05-23,61.0,47.0
2024-05-24,59.5,47.5
2024-05-25,58.0,48.0
2024-05-26,60.0,48.0
2024-05-27,60.0,43.0
2024-05-28,60.25,42.75
2024-05-29,60.5,42.5
2024-05-30,60.75,42.25
2024-05-31,61.0,42.0
2024-06-01,72.0,52.0
2024-06-02,67.0,49.0
2024-06-03,67.5,49.0
2024-06-04,68.0,49.0
2024-06-05,68.0,47.5
2024-06-06,68.0,46.0
2024-06-07,72.0,47.0
2024-06-08,77.0,50.0
2024-06-09,80.0,50.0
2024-06-10,76.0,50.0
2024-06-11,72.0,50.0
2024-06-12,68.0,50.0
2024-06-13,67.0,45.0
2024-06-14,69.5,45.5
2024-06-15,72.0,46.0
2024-06-16,64.0,45.0
2024-06-17,64.0,45.0
2024-06-18,62.0,49.0
2024-06-19,68.0,48.0
2024-06-20,77.0,51.0
2024-06-21,84.0,54.0
2024-06-22,85.5,54.0
2024-06-23,87.0,54.0
2024-06-24,68.0,55.0
2024-06-25,69.0,49.0
2024-06-26,80.0,54.0
2024-06-27,74.0,50.0
2024-06-28,68.0,46.0
2024-06-29,72.0,55.0
2024-06-30,77.0,59.0
2024-07-01,75.5,57.5
2024-07-02,74.0,56.0
2024-07-03,71.0,53.0
2024-07-04,76.33333333333333,54.0
2024-07-05,81.66666666666667,55.0
2024-07-06,87.0,56.0
2024-07-07,90.0,55.0
2024-07-08,93.0,62.0
2024-07-09,94.5,62.0
2024-07-10,96.0,62.0
2024-07-11,88.0,58.0
2024-07-12,83.0,56.0
2024-07-13,84.0,59.0
2024-07-14,88.0,61.0
2024-07-15,86.0,56.0
2024-07-16,80.0,57.0
2024-07-17,88.0,64.0
2024-07-18,87.0,57.0
2024-07-19,85.0,57.5
2024-07-20,83.0,58.0
2024-07-21,88.0,59.0
2024-07-22,80.0,58.0
2024-07-23,65.0,58.0
2024-07-24,70.5,56.5
2024-07-25,76.0,55.0
2024-07-26,72.0,52.0
2024-07-27,77.0,53.0
2024-07-28,78.0,54.0
2024-07-29,79.0,55.0
2024-07-30,71.0,60.0
2024-07-31,76.0,60.0
2024-08-01,79.0,58.0
2024-08-02,83.0,58.0
2024-08-03,87.0,58.0
2024-08-04,83.0,58.0
2024-08-05,80.0,57.0
2024-08-06,77.0,56.0
2024-08-07,78.0,55.0
2024-08-08,79.0,54.0
2024-08-09,88.0,60.0
2024-08-10,87.0,58.5
2024-08-11,86.0,57.0
2024-08-12,68.0,55.0
2024-08-13,74.0,57.0
2024-08-14,69.0,58.0
2024-08-15,78.0,56.0
2024-08-16,76.0,57.0
2024-08-17,78.0,57.5
2024-08-18,80.0,58.0
2024-08-19,80.0,55.0
2024-08-20,80.0,52.0
2024-08-21,80.0,52.0
2024-08-22,69.0,53.0
2024-08-23,70.0,58.0
2024-08-24,70.0,55.0
2024-08-25,72.0,54.0
2024-08-26,74.0,53.0
2024-08-27,72.0,53.0
2024-08-28,68.0,47.0
2024-08-29,71.0,51.0
2024-08-30,78.0,54.0
2024-08-31,84.0,55.0
2024-09-01,86.0,57.0
2024-09-02,77.5,57.5
2024-09-03,69.0,58.0
2024-09-04,71.0,54.0
2024-09-05,80.0,54.0
2024-09-06,86.5,56.0
2024-09-07,93.0,58.0
2024-09-08,93.0,58.0
2024-09-09,77.0,58.0
2024-09-10,74.5,55.5
2024-09-11,72.0,53.0
2024-09-12,66.0,53.0
2024-09-13,69.0,53.0
2024-09-14,69.0,53.0
2024-09-15,70.0,52.5
2024-09-16,71.0,52.0
2024-09-17,70.0,48.0
2024-09-18,67.0,48.0
2024-09-19,68.0,52.0
2024-09-20,64.0,53.0
2024-09-21,71.0,48.0
2024-09-22,69.0,48.0
2024-09-23,74.0,58.0
2024-09-24,75.0,59.0
2024-09-25,66.0,54.0
2024-09-26,68.0,52.0
2024-09-27,59.0,45.0
2024-09-28,60.0,51.0
2024-09-29,64.0,51.0
2024-09-30,64.0,45.0
2024-10-01,60.0,32.0
2024-10-02,64.0,52.0
2024-10-03,66.0,44.0
2024-10-04,68.0,37.0
2024-10-05,65.0,47.0
2024-10-06,70.0,46.0
2024-10-07,75.0,40.0
2024-10-08,67.0,55.0
2024-10-09,63.0,43.0
2024-10-10,50.0,44.0
2024-10-11,58.0,47.0
2024-10-12,70.0,44.0
2024-10-13,71.0,47.0
2024-10-14,66.0,54.0
2024-10-15,57.0,49.0
2024-10-16,63.0,40.0
2024-10-17,53.0,38.0
2024-10-18,54.0,47.0
2024-10-19,56.0,41.0
2024-10-20,56.0,48.0
2024-10-21,57.0,49.0
2024-10-22,48.0,40.0
2024-10-23,46.0,35.0
2024-10-24,42.0,36.0
2024-10-25,59.0,40.0
2024-10-26,60.0,49.0
2024-10-27,43.0,35.0
2024-10-28,56.0,49.0
2024-10-29,54.0,44.0
2024-10-30,44.0,36.0
2024-10-31,53.0,45.0
2024-11-01,55.0,48.0
2024-11-02,43.0,39.0
2024-11-03,44.0,39.0
2024-11-04,55.0,45.0
2024-11-05,54.0,42.0
2024-11-06,55.0,41.0
2024-11-07,56.0,39.0
2024-11-08,61.0,45.0
2024-11-09,53.0,49.0
2024-11-10,55.0,47.0
2024-11-11,49.0,38.0
2024-11-12,44.0,40.0
2024-11-13,48.0,43.0
2024-11-14,52.0,43.0
2024-11-15,50.0,39.0
2024-11-16,44.0,34.0
2024-11-17,44.0,35.0
2024-11-18,46.0,41.0
2024-11-19,49.0,37.0
2024-11-20,51.0,35.0
2024-11-21,49.0,38.0
2024-11-22,44.0,39.0
2024-11-23,51.0,42.0
2024-11-24,48.0,44.0
2024-11-25,44.0,35.0
2024-11-26,47.0,45.0
2024-11-27,47.0,37.0
2024-11-28,38.0,29.0
2024-11-29,44.0,35.0
2024-11-30,44.0,34.0
2024-12-01,54.0,33.0
2024-12-02,56.0,30.0
2024-12-03,43.0,27.0
2024-12-04,38.0,30.0
2024-12-05,40.0,33.0
2024-12-06,51.0,36.0
2024-12-07,52.0,45.0
2024-12-08,48.0,41.0
2024-12-09,40.0,43.98901098901099
2024-12-10,45.0,32.0
2024-12-11,47.0,37.0
2024-12-12,40.0,37.0
2024-12-13,44.0,38.0
2024-12-14,50.0,33.0
2024-12-15,47.0,41.0
2024-12-16,50.0,42.0
2024-12-17,58.0,44.0
2024-12-18,57.0,45.0
2024-12-19,53.0,43.0
2024-12-20,55.0,42.0
2024-12-21,57.0,41.0
2024-12-22,50.0,42.0
2024-12-23,51.0,43.0
2024-12-24,52.0,42.5
2024-12-25,53.0,42.0
2024-12-26,53.0,42.5
2024-12-27,53.0,43.0
2024-12-28,50.0,44.0
2024-12-29,54.0,43.0
2024-12-30,51.0,38.0
2024-12-31,49.0,37.333333333333336
2025-01-01,47.0,36.66666666666666
2025-01-02,45.0,36.0
2025-01-03,45.0,36.0
2025-01-04,46.0,40.0
2025-01-05,47.0,43.0
2025-01-06,46.0,43.0
2025-01-07,47.0,37.0
2025-01-08,45.0,40.0
2025-01-09,49.0,40.0
2025-01-10,54.0,40.0
2025-01-11,50.0,39.0
2025-01-12,51.0,34.0
2025-01-13,47.0,33.0
2025-01-14,42.0,31.0
2025-01-15,41.0,37.0
2025-01-16,42.0,36.0
2025-01-17,43.0,31.0
2025-01-18,45.0,30.0
2025-01-19,45.0,28.0
2025-01-20,46.0,27.0
2025-01-21,44.0,26.0
2025-01-22,47.0,26.0
2025-01-23,45.0,29.0
2025-01-24,43.0,31.0
2025-01-25,47.0,29.0
2025-01-26,47.0,26.0
2025-01-27,49.0,27.0
2025-01-28,50.0,29.0
2025-01-29,48.0,26.0
2025-01-30,49.0,27.0
2025-01-31,47.0,37.0
2025-02-01,48.0,33.0
2025-02-02,40.0,31.0
2025-02-03,37.0,31.0
2025-02-04,39.0,29.0
2025-02-05,42.0,30.0
2025-02-06,39.0,28.0
2025-02-07,36.0,26.0
2025-02-08,41.0,27.0
2025-02-09,42.0,29.0
2025-02-10,43.0,31.0
2025-02-11,40.0,26.0
2025-02-12,38.0,23.0
2025-02-13,43.0,23.0
2025-02-14,39.0,31.0
2025-02-15,41.0,31.0
2025-02-16,42.0,37.0
2025-02-17,49.0,37.0
2025-02-18,48.0,43.0
2025-02-19,52.0,43.0
2025-02-20,54.0,42.0
2025-02-21,48.0,41.0
2025-02-22,50.0,43.0
2025-02-23,51.0,46.0
2025-02-24,52.0,42.0
2025-02-25,50.0,44.0
2025-02-26,54.0,34.0
2025-02-27,60.0,35.5
2025-02-28,66.0,37.0
2025-03-01,62.0,36.0
2025-03-02,63.0,36.0
2025-03-03,64.0,36.0
2025-03-04,52.0,40.0
2025-03-05,50.0,38.0
2025-03-06,54.0,36.0
2025-03-07,54.0,39.5
2025-03-08,54.0,43.0
2025-03-09,52.0,44.0
