Date,Temperature_F
01/01/2005,41.8
02/01/2005,42
03/01/2005,49
04/01/2005,51.1
05/01/2005,58.4
06/01/2005,60
07/01/2005,65.2
08/01/2005,66.5
09/01/2005,59.3
10/01/2005,53.9
11/01/2005,42.7
12/01/2005,40.5
01/01/2006,43.9
02/01/2006,39.9
03/01/2006,45
04/01/2006,50.1
05/01/2006,56.1
06/01/2006,62.4
07/01/2006,66.8
08/01/2006,64.9
09/01/2006,61.7
10/01/2006,52
11/01/2006,43.2
12/01/2006,39.8
01/01/2007,38.7
02/01/2007,43.2
03/01/2007,46.8
04/01/2007,49.7
05/01/2007,55.5
06/01/2007,59.3
07/01/2007,67.3
08/01/2007,64.2
09/01/2007,60.1
10/01/2007,50.7
11/01/2007,43.8
12/01/2007,38.7
01/01/2008,37.5
02/01/2008,42.3
03/01/2008,42.8
04/01/2008,45.5
05/01/2008,55.6
06/01/2008,57.1
07/01/2008,64.2
08/01/2008,65.3
09/01/2008,60.3
10/01/2008,51.1
11/01/2008,47.5
12/01/2008,36.5
01/01/2009,38.1
02/01/2009,40.5
03/01/2009,41.2
04/01/2009,48.1
05/01/2009,54.9
06/01/2009,62.3
07/01/2009,66.08
08/01/2009,65
09/01/2009,62.2
10/01/2009,50.7
11/01/2009,45.2
12/01/2009,36.7
01/01/2010,44.4
02/01/2010,44.5
03/01/2010,46.7
04/01/2010,48.5
05/01/2010,52.7
06/01/2010,58.2
07/01/2010,63.8
08/01/2010,64.7
09/01/2010,59.9
10/01/2010,52.9
11/01/2010,42.7
12/01/2010,41
01/01/2011,40.3
02/01/2011,38.3
03/01/2011,44
04/01/2011,45.3
05/01/2011,51.7
06/01/2011,59.1
07/01/2011,62.8
08/01/2011,64.5
09/01/2011,63.8
10/01/2011,52.3
11/01/2011,41.7
12/01/2011,39.9
01/01/2012,38.8
02/01/2012,41.8
03/01/2012,42.2
04/01/2012,50.5
05/01/2012,54.5
06/01/2012,57.4
07/01/2012,63.2
08/01/2012,66.7
09/01/2012,62
10/01/2012,52.3
11/01/2012,46.4
12/01/2012,40.8
01/01/2013,38.2
02/01/2013,44.3
03/01/2013,46.2
04/01/2013,49.9
05/01/2013,56.8
06/01/2013,61.8
07/01/2013,66.1
08/01/2013,67.5
09/01/2013,61.4
10/01/2013,50.9
11/01/2013,44.4
12/01/2013,37.6
01/01/2014,41.7
02/01/2014,39
03/01/2014,47.2
04/01/2014,51.6
05/01/2014,58.2
06/01/2014,60.8
07/01/2014,67.6
08/01/2014,69.3
09/01/2014,63.6
10/01/2014,56.4
11/01/2014,45
12/01/2014,42.8
01/01/2015,44.8
02/01/2015,48.1
03/01/2015,50.3
04/01/2015,50.2
05/01/2015,55.8
06/01/2015,65.8
07/01/2015,69.4
08/01/2015,67.6
09/01/2015,59.6
10/01/2015,56.8
11/01/2015,43.9
12/01/2015,41.5
01/01/2016,41.9
02/01/2016,46.1
03/01/2016,47.1
04/01/2016,55.3
05/01/2016,58
06/01/2016,62.6
07/01/2016,65.1
08/01/2016,67.4
09/01/2016,60.4
10/01/2016,53.4
11/01/2016,49.3
12/01/2016,36.6
01/01/2017,37.2
02/01/2017,40.3
03/01/2017,44.3
04/01/2017,49.3
05/01/2017,56.7
06/01/2017,61.8
07/01/2017,66
08/01/2017,69.6
09/01/2017,63.9
10/01/2017,52.3
11/01/2017,44.9
12/01/2017,39.6
01/01/2018,43.9
02/01/2018,41.1
03/01/2018,45.6
04/01/2018,50.6
05/01/2018,60.2
06/01/2018,60.7
07/01/2018,68.6
08/01/2018,67.2
09/01/2018,60.9
10/01/2018,53.1
11/01/2018,47
12/01/2018,42.2
01/01/2019,42.3
02/01/2019,36.1
03/01/2019,45.9
04/01/2019,51.1
05/01/2019,59.2
06/01/2019,61.5
07/01/2019,66.6
08/01/2019,68.2
09/01/2019,62.7
10/01/2019,50.3
11/01/2019,47.4
12/01/2019,43.5
01/01/2020,43.5
02/01/2020,42.7
03/01/2020,43.7
04/01/2020,51.4
05/01/2020,58.5
06/01/2020,60.5
07/01/2020,65.2
08/01/2020,67.2
09/01/2020,64.9
10/01/2020,55
11/01/2020,45.9
12/01/2020,44
01/01/2021,43.1
02/01/2021,41.4
03/01/2021,45.3
04/01/2021,52.3
05/01/2021,55.2
06/01/2021,63.89
07/01/2021,67
08/01/2021,66.5
09/01/2021,62
10/01/2021,51.7
11/01/2021,46.7
12/01/2021,36.16
01/01/2022,41
02/01/2022,42
03/01/2022,46.5
04/01/2022,46.7
05/01/2022,52.8
06/01/2022,59.22
07/01/2022,68.3
08/01/2022,70
09/01/2022,65.4
10/01/2022,56.8
11/01/2022,41.1
12/01/2022,38.4
01/01/2023,42
02/01/2023,40.6
03/01/2023,41.24
04/01/2023,48.6
05/01/2023,60.3
06/01/2023,61.4
07/01/2023,67.5
08/01/2023,69.3
09/01/2023,62
10/01/2023,54.5
11/01/2023,44.8
12/01/2023,44.3
01/01/2024,40
02/01/2024,44.1
03/01/2024,46.6
04/01/2024,50.3
05/01/2024,53.192
06/01/2024,58.484
07/01/2024,67.42516129
08/01/2024,63.58129032
09/01/2024,60.062
10/01/2024,50.87096774
11/01/2024,43.412
12/01/2024,41.74903226
01/01/2025,39.8
02/01/2025,40.1
03/01/2025,44.61741935
04/01/2025,52.6
05/01/2025,53.98322581
06/01/2025,60.092
07/01/2025,64.91677419
08/01/2025,70.2
09/01/2025,64.2
10/01/2025,53.3
11/01/2025,48.9
12/01/2025,45
01/01/2026,43
