date,description,gallons,sale_amount
2005-07-26,PROPANE BULK,449.9,651.91
2005-10-24,PROPANE BULK,1361.2,2775.49
2005-10-27,PROPANE BULK,313.0,638.21
2005-11-18,PROPANE BULK,1300.0,2715.7
2005-12-06,PROPANE INDEX,1300.0,2299.96
2005-12-13,PROPANE INDEX,650.0,1131.98
2005-12-21,PROPANE INDEX,1000.0,1746.2
2006-01-10,PROPANE INDEX,1190.0,2077.5
2006-01-17,PROPANE INDEX,800.0,1396.8
2006-01-24,PROPANE INDEX,560.0,977.76
2006-01-31,PROPANE INDEX,690.1,1210.5
2006-02-13,PROPANE INDEX,900.1,1513.16
2006-02-21,PROPANE INDEX,700.2,1178.72
2006-03-06,PROPANE INDEX,1200.0,1962.24
2006-03-13,PROPANE INDEX,600.0,982.5
2006-03-20,PROPANE INDEX,400.1,651.82
2006-03-27,PROPANE INDEX,500.0,809.34
2006-04-03,PROPANE INDEX,400.0,633.5
2006-04-10,PROPANE INDEX,402.0,703.06
2006-04-17,PROPANE INDEX,501.4,875.33
2006-04-24,PROPANE INDEX,350.4,611.3
2006-05-01,PROPANE INDEX,400.4,676.41
2006-05-08,PROPANE INDEX,201.6,342.9
2006-05-15,PROPANE INDEX,205.3,352.24
2006-05-30,PROPANE INDEX,200.9,337.84
2006-06-12,PROPANE INDEX,201.8,345.27
2006-08-01,PROPANE INDEX,300.4,529.51
2006-08-29,PROPANE INDEX,250.6,436.28
2006-09-18,PROPANE INDEX,250.3,441.89
2006-09-25,PROPANE INDEX,450.0,783.96
2006-10-09,PROPANE INDEX,350.0,584.15
2006-10-24,PROPANE INDEX,404.9,693.62
2006-11-20,PROPANE INDEX,1600.0,2786.62
2006-11-27,PROPANE INDEX,600.0,1032.24
2006-12-04,PROPANE INDEX,625.0,1098.19
2006-12-11,PROPANE INDEX,457.2,828.09
2006-12-20,PROPANE INDEX,900.0,1631.13
2006-12-31,PROPANE INDEX,850.0,1494.69
2007-01-08,PROPANE INDEX,700.0,1156.26
2007-01-18,PROPANE INDEX,1200.0,2151.06
2007-01-29,PROPANE INDEX,1000.0,1802.04
2007-02-05,PROPANE INDEX,800.0,1419.58
2007-02-12,PROPANE INDEX,400.0,713.34
2007-02-19,PROPANE INDEX,620.0,1098.6
2007-02-26,PROPANE INDEX,641.7,1168.91
2007-03-05,PROPANE INDEX,750.0,1365.69
2007-03-12,PROPANE INDEX,300.0,548.04
2007-03-19,PROPANE INDEX,500.0,911.44
2007-03-26,PROPANE INDEX,600.0,1093.14
2007-04-02,PROPANE INDEX,500.0,911.44
2007-04-09,PROPANE INDEX,360.0,657.06
2007-04-16,PROPANE INDEX,325.0,593.47
2007-04-23,PROPANE INDEX,360.0,657.06
2007-05-14,PROPANE INDEX,500.3,921.49
2007-06-04,PROPANE INDEX,398.2,721.51
2007-07-02,PROPANE INDEX,342.3,642.96
2007-08-27,PROPANE INDEX,260.0,478.1
2007-09-25,PROPANE INDEX,533.6,1068.34
2007-10-15,PROPANE INDEX,250.0,534.44
2007-10-22,PROPANE INDEX,200.0,452.74
2007-10-29,PROPANE INDEX,499.6,1122.1
2007-11-05,PROPANE INDEX,400.0,906.39
2007-11-12,PROPANE INDEX,270.0,634.2
2007-11-19,PROPANE INDEX,820.0,1826.96
2007-11-26,PROPANE INDEX,800.0,1792.47
2007-12-03,PROPANE INDEX,775.0,1709.29
