,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction date,Transaction Description,Doc Number,Sale Amount,Gallons,Document Reference,Payment Amount,Group,Gallon Consumption,Running total,Month,Year,Month-Year,Monthly Temp (F),,,,Month,Year,Total Gal,Nonzero Gal,Monthly Avg T,,,,,,
11/18/2002,,0803285833,$384.65,0,285833,$0.00,CC000000860720,0.00,$384.65,11,2002,Nov-02,,,,,11,2002,0,,45,,,,,,
1/7/2003,,0803128288,($599.16),0,128288,$0.00,CC000000860720,0.00,($214.51),1,2003,Jan-03,,,,,12,2002,0,,40,,,,,,
12/13/2004,,0803322638,"$1,398.75",0,322638,$0.00,CC000000860720,0.00,"$1,184.24",12,2004,Dec-04,,,,,1,2003,0,,41,,,,,,
12/29/2004,,080331402,$14.49,0,31402,$0.00,CC000000860720,0.00,"$1,198.73",12,2004,Dec-04,,,,,2,2003,0,,42,,,,,,
1/3/2005,,0803157711,($266.69),0,157711,$0.00,CC000000860720,0.00,$932.04,1,2005,Jan-05,,,,,3,2003,0,,46,,,,,,
1/20/2005,,0803160024,$148.71,0,160024,$0.00,CC000000860720,0.00,"$1,080.75",1,2005,Jan-05,,,,,4,2003,0,,50,,,,,,
1/27/2005,,080320581,$5.31,0,20581,$0.00,CC000000860720,0.00,"$1,086.06",1,2005,Jan-05,,,,,5,2003,0,,56,,,,,,
2/24/2005,,080320582,$12.67,0,20582,$0.00,CC000000860720,0.00,"$1,098.73",2,2005,Feb-05,,,,,6,2003,0,,60,,,,,,
2/28/2005,,0803160976,($145.17),0,160976,$0.00,CC000000860720,0.00,$953.56,2,2005,Feb-05,,,,,7,2003,0,,65,,,,,,
3/29/2005,,080330503,$15.00,0,30503,$0.00,CC000000860720,0.00,$968.56,3,2005,Mar-05,,,,,8,2003,0,,65,,,,,,
4/27/2005,,080320594,$13.17,0,20594,$0.00,CC000000860720,0.00,$981.73,4,2005,Apr-05,,,,,9,2003,0,,61,,,,,,
5/16/2005,,0803330534,$816.13,0,330534,$0.00,CC000000860720,0.00,"$1,797.86",5,2005,May-05,,,,,10,2003,0,,52,,,,,,
5/26/2005,,080320575,$13.17,0,20575,$0.00,CC000000860720,0.00,"$1,811.03",5,2005,May-05,,,,,11,2003,0,,45,,,,,,
5/31/2005,,0803330992,$542.15,0,330992,$0.00,CC000000860720,0.00,"$2,353.18",5,2005,May-05,,,,,12,2003,0,,40,,,,,,
6/20/2005,,080320516,$11.36,0,20516,$0.00,CC000000860720,0.00,"$2,364.54",6,2005,Jun-05,,,,,1,2004,0,,41,,,,,,
7/26/2005,PROPANE BULK,1003542716,$651.91,449.9, ,$0.00,2516320,449.90,"$1,658.76",7,2005,Jul-05,,,,,2,2004,0,,42,,,,,,
8/25/2005,MAINTENANCE,0803330534,($816.13),0,330534,$0.00,2813541,449.90,$847.63,8,2005,Aug-05,,,,,3,2004,0,,46,,,,,,
8/25/2005,MAINTENANCE,0803330992,($542.15),0,330992,$0.00,2813541,449.90,$305.48,8,2005,Aug-05,,,,,4,2004,0,,50,,,,,,
8/25/2005,MAINTENANCE,OA-564696,"$1,358.28",0, ,$0.00,2813541,449.90,"$1,663.76",8,2005,Aug-05,,,,,5,2004,0,,56,,,,,,
8/30/2005,MAINTENANCE,0803128288,$599.16,0,128288,$0.00,2850324,449.90,"$2,262.92",8,2005,Aug-05,,,,,6,2004,0,,60,,,,,,
8/30/2005,MAINTENANCE,0803157711,$266.69,0,157711,$0.00,2850324,449.90,"$2,529.61",8,2005,Aug-05,,,,,7,2004,0,,65,,,,,,
8/30/2005,MAINTENANCE,0803160024,($148.71),0,160024,$0.00,2850324,449.90,"$2,380.90",8,2005,Aug-05,,,,,8,2004,0,,65,,,,,,
8/30/2005,MAINTENANCE,0803160976,$145.17,0,160976,$0.00,2850324,449.90,"$2,526.07",8,2005,Aug-05,,,,,9,2004,0,,61,,,,,,
8/30/2005,MAINTENANCE,0803285833,($384.65),0,285833,$0.00,2850324,449.90,"$2,141.42",8,2005,Aug-05,,,,,10,2004,0,,52,,,,,,
8/30/2005,MAINTENANCE,0803322638,($477.66),0,322638,$0.00,2850324,449.90,"$1,663.76",8,2005,Aug-05,,,,,11,2004,0,,45,,,,,,
9/27/2005,000000001857421,RNT341647,$120.00,0, ,$0.00,3135982,449.90,"$1,793.03",9,2005,Sep-05,,,,,12,2004,0,,40,,Temp Data from 2005-2026,,,,
10/24/2005,PROPANE BULK,1005021084,"$2,775.49",1361.2, ,$0.00,3455695,"1,811.10","$4,568.52",10,2005,Oct-05,,,,,1,2005,0,,41,,2005,1,41.8,F (1),Climate
10/27/2005,PROPANE BULK,1005108370,$638.21,313, ,$0.00,3505691,"2,124.10","$5,214.26",10,2005,Oct-05,,,,,2,2005,0,,42,,,2,42,,
11/18/2005,PROPANE BULK,1005575563,"$2,715.70",1300, ,$0.00,3792687,"3,424.10","$7,929.96",11,2005,Nov-05,,,,,3,2005,0,,46,,,3,49,,
12/6/2005,PROPANE INDEX,1005962143,"$2,299.96",1300, ,$0.00,4013817,"4,724.10","$10,243.70",12,2005,Dec-05,,,,,4,2005,0,,50,,,4,51.1,,
12/13/2005,PROPANE INDEX,1006159100,"$1,131.98",650, ,$0.00,4101725,"5,374.10","$11,375.68",12,2005,Dec-05,,,,,5,2005,0,,56,,,5,58.4,,
12/21/2005,PROPANE INDEX,1006359930,"$1,746.20",1000, ,$0.00,4238862,"6,374.10","$13,121.88",12,2005,Dec-05,,,,,6,2005,0,,60,,,6,60,,
1/10/2006,PROPANE INDEX,1006868239,"$2,077.50",1190, ,$0.00,4505315,"7,564.10","$12,494.78",1,2006,Jan-06,,,,,7,2005,450,450,65,,,7,65.2,,
1/17/2006,PROPANE INDEX,1007026337,"$1,396.80",800, ,$0.00,4629782,"8,364.10","$13,891.58",1,2006,Jan-06,,,,,8,2005,0,,65,,,8,66.5,,
1/24/2006,PROPANE INDEX,1007191030,$977.76,560, ,$0.00,4747382,"8,924.10","$14,869.34",1,2006,Jan-06,,,,,9,2005,0,,61,,,9,59.3,,
1/31/2006,PROPANE INDEX,1007357831,"$1,210.50",690.1, ,$0.00,4837154,"9,614.20","$16,116.44",1,2006,Jan-06,,,,,10,2005,1674,1674,52,,,10,53.9,,
2/13/2006,PROPANE INDEX,1007657856,"$1,513.16",900.1, ,$0.00,5036833,"10,514.30","$17,629.60",2,2006,Feb-06,,,,,11,2005,1300,1300,45,,,11,42.7,,
2/21/2006,MAINTENANCE,080320516,($11.36),0,20516,$0.00,5162758,"10,514.30","$17,618.24",2,2006,Feb-06,,,,,12,2005,2950,2950,40,,,12,40.5,,
2/21/2006,MAINTENANCE,080320575,($13.17),0,20575,$0.00,5162758,"10,514.30","$17,605.07",2,2006,Feb-06,,,,,1,2006,3240,3240,41,,2006,1,43.9,,
2/21/2006,MAINTENANCE,080320581,($5.31),0,20581,$0.00,5162758,"10,514.30","$17,599.76",2,2006,Feb-06,,,,,2,2006,1600,1600,42,,,2,39.9,,
2/21/2006,MAINTENANCE,080320582,($12.67),0,20582,$0.00,5162758,"10,514.30","$17,587.09",2,2006,Feb-06,,,,,3,2006,2700,2700,46,,,3,45,,
2/21/2006,MAINTENANCE,080320594,($13.17),0,20594,$0.00,5162758,"10,514.30","$17,573.92",2,2006,Feb-06,,,,,4,2006,1654,1654,50,,,4,50.1,,
2/21/2006,MAINTENANCE,080330503,($15.00),0,30503,$0.00,5162758,"10,514.30","$17,558.92",2,2006,Feb-06,,,,,5,2006,1008,1008,56,,,5,56.1,,
2/21/2006,MAINTENANCE,080331402,($14.49),0,31402,$0.00,5162758,"10,514.30","$17,544.43",2,2006,Feb-06,,,,,6,2006,352,352,60,,,6,62.4,,
2/21/2006,MAINTENANCE,0803322638,($921.09),0,322638,$0.00,5162758,"10,514.30","$16,623.34",2,2006,Feb-06,,,,,7,2006,0,,65,,,7,66.8,,
2/21/2006,MAINTENANCE,1003542716,($651.91),0, ,$0.00,5162758,"10,514.30","$15,971.43",2,2006,Feb-06,,,,,8,2006,551,551,65,,,8,64.9,,
2/21/2006,MAINTENANCE,1005021084,"($2,775.49)",0, ,$0.00,5162758,"10,514.30","$13,195.94",2,2006,Feb-06,,,,,9,2006,700,700,61,,,9,61.7,,
2/21/2006,MAINTENANCE,1005108370,($638.21),0, ,$0.00,5162758,"10,514.30","$12,557.73",2,2006,Feb-06,,,,,10,2006,755,755,52,,,10,52,,
2/21/2006,MAINTENANCE,FC-1076135,($7.53),0,900064,$0.00,5161930,"11,214.50","$13,728.92",2,2006,Feb-06,,,,,11,2006,2200,2200,45,,,11,43.2,,
2/21/2006,MAINTENANCE,FC-1256242,($24.88),0,900066,$0.00,5161930,"11,214.50","$13,704.04",2,2006,Feb-06,,,,,12,2006,2832,2832,40,,,12,39.8,,
2/21/2006,MAINTENANCE,FC-1357238,($36.60),0,900067,$0.00,5161930,"11,214.50","$13,667.44",2,2006,Feb-06,,,,,1,2007,2900,2900,41,,2007,1,38.7,,
2/21/2006,MAINTENANCE,FC-623924,($0.59),0,900059,$0.00,5161930,"11,214.50","$13,666.85",2,2006,Feb-06,,,,,2,2007,2462,2462,42,,,2,43.2,,
2/21/2006,MAINTENANCE,FC-771212,($5.00),0,900061,$0.00,5161930,"11,214.50","$13,661.85",2,2006,Feb-06,,,,,3,2007,2150,2150,46,,,3,46.8,,
2/21/2006,MAINTENANCE,FC-840893,($3.72),0,900062,$0.00,5161930,"11,214.50","$13,658.13",2,2006,Feb-06,,,,,4,2007,1545,1545,50,,,4,49.7,,
2/21/2006,MAINTENANCE,FC-999529,($5.55),0,900063,$0.00,5161930,"11,214.50","$13,652.58",2,2006,Feb-06,,,,,5,2007,500,500,56,,,5,55.5,,
