year,month,gallons,temp_F
2005,1,0.0,41.8
2005,2,0.0,42.0
2005,3,0.0,49.0
2005,4,0.0,51.1
2005,5,0.0,58.4
2005,6,0.0,60.0
2005,7,449.9,65.2
2005,8,0.0,66.5
2005,9,0.0,59.3
2005,10,1674.2,53.9
2005,11,1300.0,42.7
2005,12,2950.0,40.5
2006,1,3240.1,43.9
2006,2,1600.3000000000002,39.9
2006,3,2700.1,45.0
2006,4,1653.8,50.1
2006,5,1008.2,56.1
2006,6,201.8,62.4
2006,7,0.0,66.8
2006,8,551.0,64.9
2006,9,700.3,61.7
2006,10,754.9,52.0
2006,11,2200.0,43.2
2006,12,2832.2,39.8
2007,1,2900.0,38.7
2007,2,2461.7,43.2
2007,3,2150.0,46.8
2007,4,1545.0,49.7
2007,5,500.3,55.5
2007,6,398.2,59.3
2007,7,342.3,67.3
2007,8,260.0,64.2
2007,9,533.6,60.1
2007,10,949.6,50.7
2007,11,2290.0,43.8
2007,12,3703.0,38.7
2008,1,3170.0,37.5
2008,2,2805.6,42.3
2008,3,2520.0,42.8
2008,4,1950.0,45.5
2008,5,861.9,55.6
2008,6,618.8,57.1
2008,7,0.0,64.2
2008,8,489.5,65.3
2008,9,527.9,60.3
2008,10,1706.8,51.1
2008,11,1636.1,47.5
2008,12,3327.4,36.5
2009,1,2555.9,38.1
2009,2,2497.8,40.5
2009,3,2719.0,41.2
2009,4,1555.3,48.1
2009,5,735.7,54.9
2009,6,411.1,62.3
2009,7,248.1,66.08
2009,8,200.1,65.0
2009,9,363.7,62.2
2009,10,488.6,50.7
2009,11,2402.1,45.2
2009,12,2575.6000000000004,36.7
2010,1,1797.1,44.4
2010,2,1830.3000000000002,44.5
2010,3,1632.3,46.7
2010,4,1475.0,48.5
2010,5,855.2,52.7
2010,6,1193.2,58.2
2010,7,0.0,63.8
2010,8,650.0,64.7
2010,9,648.6,59.9
2010,10,964.6999999999999,52.9
2010,11,2384.5,42.7
2010,12,1847.9,41.0
2011,1,3102.9,40.3
2011,2,2851.5,38.3
2011,3,2104.6,44.0
2011,4,1887.2,45.3
2011,5,1075.2,51.7
2011,6,872.9,59.1
2011,7,0.0,62.8
2011,8,0.0,64.5
2011,9,836.7,63.8
2011,10,996.6,52.3
2011,11,2727.0,41.7
2011,12,2766.1,39.9
2012,1,2545.7,38.8
2012,2,3043.8,41.8
2012,3,2247.3,42.2
2012,4,1285.6999999999998,50.5
2012,5,1699.5,54.5
2012,6,0.0,57.4
2012,7,615.7,63.2
2012,8,0.0,66.7
2012,9,863.9,62.0
2012,10,1348.1,52.3
2012,11,1915.0,46.4
2012,12,1863.0,40.8
2013,1,3388.3999999999996,38.2
2013,2,2166.1,44.3
2013,3,2134.9,46.2
2013,4,918.7,49.9
2013,5,728.7,56.8
2013,6,802.3,61.8
2013,7,0.0,66.1
2013,8,0.0,67.5
2013,9,616.5,61.4
2013,10,1813.7,50.9
2013,11,1895.1999999999998,44.4
2013,12,2841.0,37.6
2014,1,2955.2,41.7
2014,2,2090.4,39.0
2014,3,2302.2,47.2
2014,4,1541.4,51.6
2014,5,726.8,58.2
2014,6,607.0,60.8
2014,7,0.0,67.6
2014,8,0.0,69.3
2014,9,654.8,63.6
2014,10,677.5,56.4
2014,11,1948.0,45.0
2014,12,4023.5,42.8
2015,1,2612.3,44.8
2015,2,1992.1999999999998,48.1
2015,3,1893.6999999999998,50.3
2015,4,845.3,50.2
2015,5,1079.0,55.8
2015,6,0.0,65.8
2015,7,0.0,69.4
2015,8,1117.0,67.6
2015,9,0.0,59.6
2015,10,1006.0,56.8
2015,11,2372.0,43.9
2015,12,4486.9,41.5
2016,1,2928.5,41.9
2016,2,2946.7,46.1
2016,3,6128.3,47.1
2016,4,1108.8,55.3
2016,5,700.0,58.0
2016,6,750.0,62.6
2016,7,0.0,65.1
2016,8,558.7,67.4
2016,9,0.0,60.4
2016,10,1758.2,53.4
2016,11,2108.1000000000004,49.3
2016,12,3565.3,36.6
2017,1,4672.7,37.2
2017,2,4518.8,40.3
2017,3,2694.3999999999996,44.3
2017,4,2453.2,49.3
2017,5,5367.9,56.7
2017,6,886.8,61.8
2017,7,590.9,66.0
2017,8,0.0,69.6
2017,9,607.3,63.9
2017,10,1371.0,52.3
2017,11,3208.8,44.9
2017,12,3735.2,39.6
2018,1,3704.6,43.9
2018,2,3424.3,41.1
2018,3,4004.4,45.6
2018,4,1546.3000000000002,50.6
2018,5,726.7,60.2
2018,6,721.4,60.7
2018,7,489.6,68.6
2018,8,528.9,67.2
2018,9,668.9,60.9
2018,10,1036.7,53.1
2018,11,2089.6,47.0
2018,12,3463.0,42.2
2019,1,4135.2,42.3
2019,2,3204.5,36.1
2019,3,3141.4,45.9
2019,4,2100.0,51.1
2019,5,910.1,59.2
2019,6,759.9,61.5
2019,7,426.3,66.6
2019,8,549.6,68.2
2019,9,700.0,62.7
2019,10,2111.9,50.3
2019,11,3600.8,47.4
2019,12,4245.7,43.5
2020,1,3975.5,43.5
2020,2,4144.5,42.7
2020,3,3914.1,43.7
2020,4,1496.5,51.4
2020,5,627.7,58.5
2020,6,795.0,60.5
2020,7,0.0,65.2
2020,8,782.3,67.2
2020,9,2644.5,64.9
2020,10,2028.7,55.0
2020,11,2480.2,45.9
2020,12,4464.4,44.0
2021,1,3954.7999999999997,43.1
2021,2,4432.8,41.4
2021,3,3386.7,45.3
2021,4,1849.8,52.3
2021,5,2677.7,55.2
2021,6,0.0,63.89
2021,7,600.4,67.0
2021,8,0.0,66.5
2021,9,846.1,62.0
2021,10,2112.9,51.7
2021,11,3013.5,46.7
2021,12,4208.6,36.16
2022,1,1889.6,41.0
2022,2,2264.0,42.0
2022,3,3365.0,46.5
2022,4,3183.9,46.7
2022,5,1952.6,52.8
2022,6,576.6,59.22
2022,7,662.1,68.3
2022,8,0.0,70.0
2022,9,852.4,65.4
2022,10,1664.0,56.8
2022,11,4475.5,41.1
2022,12,4179.8,38.4
2023,1,4164.6,42.0
2023,2,4503.5,40.6
2023,3,2940.2,41.24
2023,4,3001.1000000000004,48.6
2023,5,919.7,60.3
2023,6,861.4,61.4
2023,7,0.0,67.5
2023,8,699.3,69.3
2023,9,1023.7,62.0
2023,10,1248.3,54.5
2023,11,3413.8,44.8
2023,12,3008.7,44.3
2024,1,4178.2,40.0
2024,2,3324.5,44.1
2024,3,2540.3,46.6
2024,4,2686.6,50.3
2024,5,934.0,53.192
2024,6,965.5,58.484
2024,7,0.0,67.42516129
2024,8,935.8,63.58129032
2024,9,0.0,60.062
2024,10,1980.1999999999998,50.87096774
2024,11,2903.2,43.412
2024,12,3575.3,41.74903226
2025,1,4422.6,39.8
2025,2,3755.0,40.1
2025,3,2052.2,44.61741935
2025,4,2778.1,52.6
2025,5,737.3,53.98322581
2025,6,1143.0,60.092
2025,7,733.5,64.91677419
2025,8,755.1,70.2
2025,9,0.0,64.2
2025,10,1752.4,53.3
2025,11,2729.8,48.9
2025,12,3749.8,45.0
2026,1,3988.7,43.0
