date,description,gallons,sale_amount,price_per_gal
2005-07-26,PROPANE BULK,449.9,651.91,1.44901089130918
2005-10-24,PROPANE BULK,1361.2,2775.49,2.0390023508668818
2005-10-27,PROPANE BULK,313.0,638.21,2.039009584664537
2005-11-18,PROPANE BULK,1300.0,2715.7,2.089
2005-12-06,PROPANE INDEX,1300.0,2299.96,1.7692
2005-12-13,PROPANE INDEX,650.0,1131.98,1.7415076923076924
2005-12-21,PROPANE INDEX,1000.0,1746.2,1.7462
2006-01-10,PROPANE INDEX,1190.0,2077.5,1.745798319327731
2006-01-17,PROPANE INDEX,800.0,1396.8,1.746
2006-01-24,PROPANE INDEX,560.0,977.76,1.746
2006-01-31,PROPANE INDEX,690.1,1210.5,1.7540936096217938
2006-02-13,PROPANE INDEX,900.1,1513.16,1.6811020997666926
2006-02-21,PROPANE INDEX,700.2,1178.72,1.6834047415024278
2006-03-06,PROPANE INDEX,1200.0,1962.24,1.6352
2006-03-13,PROPANE INDEX,600.0,982.5,1.6375
2006-03-20,PROPANE INDEX,400.1,651.82,1.6291427143214197
2006-03-27,PROPANE INDEX,500.0,809.34,1.6186800000000001
2006-04-03,PROPANE INDEX,400.0,633.5,1.58375
2006-04-10,PROPANE INDEX,402.0,703.06,1.7489054726368158
2006-04-17,PROPANE INDEX,501.4,875.33,1.7457718388512167
2006-04-24,PROPANE INDEX,350.4,611.3,1.7445776255707763
2006-05-01,PROPANE INDEX,400.4,676.41,1.6893356643356643
2006-05-08,PROPANE INDEX,201.6,342.9,1.700892857142857
2006-05-15,PROPANE INDEX,205.3,352.24,1.715733073550901
2006-05-30,PROPANE INDEX,200.9,337.84,1.6816326530612242
2006-06-12,PROPANE INDEX,201.8,345.27,1.7109514370664023
2006-06-26,PROPANE INDEX,150.4,254.21,1.6902260638297872
2006-08-01,PROPANE INDEX,300.4,529.51,1.762683089214381
2006-08-29,PROPANE INDEX,250.6,436.28,1.7409417398244214
2006-09-18,PROPANE INDEX,250.3,441.89,1.765441470235717
2006-09-25,PROPANE INDEX,450.0,783.96,1.7421333333333333
2006-10-09,PROPANE INDEX,350.0,584.15,1.669
2006-10-24,PROPANE INDEX,404.9,693.62,1.7130649543097063
2006-11-20,PROPANE INDEX,1600.0,2786.62,1.7416375
2006-11-27,PROPANE INDEX,600.0,1032.24,1.7204
2006-12-04,PROPANE INDEX,625.0,1098.19,1.757104
2006-12-11,PROPANE INDEX,457.2,828.09,1.811220472440945
2006-12-20,PROPANE INDEX,900.0,1631.13,1.8123666666666667
2006-12-31,PROPANE INDEX,850.0,1494.69,1.7584588235294119
2007-01-08,PROPANE INDEX,700.0,1156.26,1.6518
2007-01-18,PROPANE INDEX,1200.0,2151.06,1.7925499999999999
2007-01-29,PROPANE INDEX,1000.0,1802.04,1.8020399999999999
2007-02-05,PROPANE INDEX,800.0,1419.58,1.7744749999999998
2007-02-12,PROPANE INDEX,400.0,713.34,1.78335
2007-02-19,PROPANE INDEX,620.0,1098.6,1.7719354838709676
2007-02-26,PROPANE INDEX,641.7,1168.91,1.8215832943743182
2007-03-05,PROPANE INDEX,750.0,1365.69,1.82092
2007-03-12,PROPANE INDEX,300.0,548.04,1.8268
2007-03-19,PROPANE INDEX,500.0,911.44,1.82288
2007-03-26,PROPANE INDEX,600.0,1093.14,1.8219
2007-04-02,PROPANE INDEX,500.0,911.44,1.82288
2007-04-09,PROPANE INDEX,360.0,657.06,1.8251666666666666
