horizon,scenario,pv_case,capex_total,opex_total,lcc_total,baseline,lcc_savings_vs_baseline,lthp_schedule
25y,Broken controls,no_pv,28000,916753,944753,broken,0,nan
25y,Fixed controls,no_pv,28000,881918,909918,broken,34835,nan
25y,HT-ASHP,no_pv,88200,1183586,1271786,broken,-327033,nan
25y,Electric Boiler,no_pv,25000,1774216,1799216,broken,-854463,nan
25y,Broken controls,no_pv,28000,916753,944753,fixed,-34835,nan
25y,Fixed controls,no_pv,28000,881918,909918,fixed,0,nan
25y,HT-ASHP,no_pv,88200,1183586,1271786,fixed,-361868,nan
25y,Electric Boiler,no_pv,25000,1774216,1799216,fixed,-889298,nan
25y,HT-ASHP,net_metering,265800,848398,1114198,broken,-169445,nan
25y,Electric Boiler,net_metering,202600,1443171,1645771,broken,-701018,nan
25y,HT-ASHP,net_metering,265800,848398,1114198,fixed,-204280,nan
25y,Electric Boiler,net_metering,202600,1443171,1645771,fixed,-735853,nan
25y,HT-ASHP,net_billing,234730,982827,1217557,broken,-272804,nan
25y,Electric Boiler,net_billing,202600,1535406,1738006,broken,-793253,nan
25y,HT-ASHP,net_billing,234730,982827,1217557,fixed,-307639,nan
25y,Electric Boiler,net_billing,202600,1535406,1738006,fixed,-828088,nan
10y,Broken controls,no_pv,0,316497,316497,broken,0,nan
10y,Fixed controls,no_pv,0,303549,303549,broken,12948,nan
10y,HT-ASHP,no_pv,0,359134,359134,broken,-42637,nan
10y,Electric Boiler,no_pv,0,538348,538348,broken,-221851,nan
10y,Broken controls,no_pv,0,316497,316497,fixed,-12948,nan
10y,Fixed controls,no_pv,0,303549,303549,fixed,0,nan
10y,HT-ASHP,no_pv,0,359134,359134,fixed,-55585,nan
10y,Electric Boiler,no_pv,0,538348,538348,fixed,-234799,nan
10y,HT-ASHP,net_metering,0,257264,257264,broken,59233,nan
10y,Electric Boiler,net_metering,0,437745,437745,broken,-121248,nan
10y,HT-ASHP,net_metering,0,257264,257264,fixed,46285,nan
10y,Electric Boiler,net_metering,0,437745,437745,fixed,-134196,nan
10y,HT-ASHP,net_billing,0,291083,291083,broken,25414,nan
10y,Electric Boiler,net_billing,0,467684,467684,broken,-151187,nan
10y,HT-ASHP,net_billing,0,291083,291083,fixed,12466,nan
10y,Electric Boiler,net_billing,0,467684,467684,fixed,-164135,nan
25y,LT-ASHP,no_pv,84300,1040295,1124595,broken,-179842,24
25y,LT-ASHP,no_pv,84300,1040295,1124595,fixed,-214677,24
25y,LT-ASHP,net_metering,261900,610241,872141,broken,72612,24
25y,LT-ASHP,net_metering,261900,610241,872141,fixed,37777,24
25y,LT-ASHP,net_billing,206348,805559,1011907,broken,-67154,24
25y,LT-ASHP,net_billing,206348,805559,1011907,fixed,-101989,24
10y,LT-ASHP,no_pv,0,557095,557095,broken,-240598,24
10y,LT-ASHP,no_pv,0,557095,557095,fixed,-253546,24
10y,LT-ASHP,net_metering,0,757708,757708,broken,-441211,24
10y,LT-ASHP,net_metering,0,757708,757708,fixed,-454159,24
10y,LT-ASHP,net_billing,0,20800,20800,broken,295697,24
10y,LT-ASHP,net_billing,0,20800,20800,fixed,282749,24
25y,LT-ASHP,no_pv,84300,946792,1031092,broken,-86339,25
25y,LT-ASHP,no_pv,84300,946792,1031092,fixed,-121174,25
25y,LT-ASHP,net_metering,261900,609095,870995,broken,73758,25
25y,LT-ASHP,net_metering,261900,609095,870995,fixed,38923,25
25y,LT-ASHP,net_billing,206348,772643,978991,broken,-34238,25
25y,LT-ASHP,net_billing,206348,772643,978991,fixed,-69073,25
10y,LT-ASHP,no_pv,0,287284,287284,broken,29213,25
10y,LT-ASHP,no_pv,0,287284,287284,fixed,16265,25
10y,LT-ASHP,net_metering,0,184652,184652,broken,131845,25
10y,LT-ASHP,net_metering,0,184652,184652,fixed,118897,25
10y,LT-ASHP,net_billing,0,220558,220558,broken,95939,25
10y,LT-ASHP,net_billing,0,220558,220558,fixed,82991,25
